pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
2721295,16,10,6,0,7,2,1,3,16,0,0,0,13,3,13,0,0,0,4,0,12,0,0,0,0,4,0,11,1,0,0,0,0,0,0,0,1
2723027,13,5,8,0,12,0,0,1,13,0,0,0,4,9,11,0,0,6,7,0,0,0,0,0,0,5,0,6,2,0,0,0,0,0,0,0,4
2730580,52,3,49,0,51,1,0,0,50,1,1,1,26,25,15,17,4,3,16,9,1,2,0,0,40,0,1,28,4,17,0,0,0,2,0,0,0
2735991,2,0,2,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2737874,51,20,31,0,42,2,0,5,31,20,0,0,0,51,8,0,0,0,0,51,0,0,0,0,0,0,0,38,0,6,7,0,0,0,0,0,1
2740486,9,0,9,0,8,0,0,1,3,6,0,0,7,2,1,0,6,1,2,0,0,0,0,0,3,3,0,5,0,1,0,0,0,0,0,0,0
2743529,17,16,1,0,17,0,0,0,17,0,0,6,9,2,1,1,10,0,3,0,3,0,0,0,0,7,0,9,1,0,0,0,0,0,0,0,2
2746464,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2747430,8,2,6,0,7,0,0,1,8,0,0,0,5,3,5,0,0,0,8,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0
2747880,18,0,18,0,16,2,0,0,17,1,0,1,14,3,14,0,3,2,13,0,0,0,0,0,1,1,0,17,0,0,0,0,0,0,0,0,4
2753706,22,0,22,0,22,0,0,0,22,0,0,0,12,10,20,0,6,1,8,0,7,0,0,0,0,7,0,13,2,0,0,0,0,0,0,0,0
2753963,186,43,143,0,186,0,0,0,184,2,0,0,75,111,186,74,8,5,87,2,3,7,0,0,0,15,4,69,22,11,4,57,4,0,0,0,4
2761995,9,6,3,0,9,0,0,0,9,0,0,3,3,3,8,0,1,3,0,0,5,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0
2763082,3,0,3,0,3,0,0,0,1,0,2,1,1,1,3,0,0,0,3,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1
2763387,24,3,21,0,20,1,0,2,24,0,0,2,11,11,21,9,1,1,5,0,8,0,0,0,0,5,1,12,1,2,2,0,0,1,0,0,0
2771735,23,10,13,0,13,3,0,6,23,0,0,0,8,15,2,0,0,3,13,7,0,0,0,0,0,5,0,16,1,1,0,0,0,0,0,0,0
2776028,13,9,4,0,6,1,1,5,13,0,0,0,6,7,4,0,4,4,4,0,1,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0
2785385,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2786080,74,17,57,0,69,2,0,3,74,0,0,2,13,59,57,1,2,0,46,25,0,0,0,0,1,0,0,63,1,8,2,0,0,0,0,0,2
2786834,12,3,9,0,12,0,0,0,10,0,2,0,0,12,10,0,0,0,0,12,0,0,0,0,5,0,1,8,2,1,0,0,0,0,0,0,2
2787336,5,2,3,0,5,0,0,0,5,0,0,0,3,2,2,0,1,0,2,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2794426,3,2,1,0,3,0,0,0,3,0,0,0,2,1,3,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2796955,29,13,16,0,11,3,0,14,21,7,1,2,13,14,9,1,1,2,12,9,4,0,0,0,0,3,0,23,1,0,0,1,1,0,0,0,0
2801041,2,0,2,0,2,0,0,0,2,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2804283,8,0,8,0,7,1,0,0,8,0,0,0,6,2,3,0,3,0,3,0,2,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,1
2807902,8,6,2,0,3,1,0,1,8,0,0,0,4,4,5,1,1,1,5,0,0,0,0,0,8,2,0,6,0,0,0,0,0,0,0,0,0
2809616,5,3,2,0,1,3,1,0,5,0,0,0,4,1,3,0,0,2,2,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
2810805,20,9,11,0,18,2,0,0,20,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0
2811298,25,3,22,0,19,4,0,2,25,0,0,6,12,7,10,1,8,1,10,0,5,0,0,0,1,3,0,18,1,0,0,1,1,1,0,0,0
2812864,38,4,34,0,33,1,0,4,35,3,0,0,15,23,35,13,0,4,6,0,15,0,0,0,1,0,1,23,3,7,2,0,1,1,0,0,3
2813322,7,2,5,0,7,0,0,0,7,0,0,0,3,4,1,0,2,0,4,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0
2827186,19,3,16,0,18,1,0,0,12,1,6,0,6,13,3,0,0,3,1,7,3,5,0,0,0,0,0,13,0,0,5,0,1,0,0,0,0
2837740,8,6,2,0,3,2,0,3,8,0,0,1,2,5,3,0,0,3,1,0,4,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0
2842145,18,1,17,0,15,0,0,0,18,0,0,0,5,13,12,0,0,0,15,0,3,0,0,0,0,0,0,15,0,1,0,2,0,0,0,0,1
2846175,37,14,23,0,37,0,0,0,37,0,0,3,21,13,13,4,0,8,10,0,15,0,0,0,0,3,0,32,0,0,0,1,0,1,0,0,0
2851375,6,4,2,0,1,1,0,4,6,0,0,0,6,0,1,1,2,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2858508,4,1,3,0,4,0,0,0,4,0,0,0,3,1,4,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2859528,24,2,22,0,23,1,0,0,1,23,0,4,17,3,1,0,0,0,23,0,1,0,0,0,0,1,1,12,0,1,3,1,0,5,0,0,0
2861096,7,1,6,0,1,5,0,1,7,0,0,0,5,2,1,1,0,0,6,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0
2861465,11,7,4,0,7,0,1,3,11,0,0,3,8,0,9,3,2,1,5,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0
2866825,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2882841,13,0,13,0,13,0,0,0,13,0,0,1,8,4,4,0,1,2,5,0,5,0,0,0,0,2,0,6,0,1,4,0,0,0,0,0,0
2900890,19,0,19,0,19,0,0,0,19,0,0,4,8,7,17,6,3,1,6,0,3,0,0,0,0,0,0,10,0,1,5,0,0,3,0,0,0
2903863,5,5,0,0,5,0,0,0,5,0,0,0,4,1,3,0,0,0,4,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0
2908908,5,2,3,0,5,0,0,0,5,0,0,4,0,1,1,0,4,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0
2911938,21,12,9,0,11,2,2,3,21,0,0,1,15,5,17,0,3,7,8,0,3,0,0,0,0,7,0,12,1,0,0,1,0,0,0,0,0
2913915,45,10,35,0,45,0,0,0,45,0,0,1,28,16,39,11,9,0,17,5,0,3,0,0,0,0,2,27,2,11,0,1,0,2,0,0,40
2915764,2,2,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2916018,38,17,21,0,38,0,0,0,38,0,0,0,17,21,31,0,0,0,38,0,0,0,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0
2919852,22,6,16,0,21,0,0,1,22,0,0,1,15,6,22,0,0,11,7,0,4,0,0,0,1,1,0,13,1,0,0,0,0,7,0,0,0
2935625,11,6,5,0,11,0,0,0,11,0,0,0,7,4,10,0,0,3,5,0,3,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,9
2941449,8,4,4,0,8,0,0,0,8,0,0,1,3,4,7,0,1,1,3,2,1,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,1
2943363,22,7,15,0,20,2,0,0,22,0,0,0,0,22,22,0,0,0,0,22,0,0,0,0,0,0,0,19,2,0,0,1,0,0,0,0,1
2943390,8,1,7,0,8,0,0,0,8,0,0,0,5,3,1,0,0,1,3,0,4,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0
2943702,3,2,1,0,2,0,0,1,3,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0
2944778,7,2,5,0,6,0,0,1,7,0,0,0,3,4,4,0,0,1,5,0,1,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0
